,balancing_method,split,precision,recall,f1-score,support
negative,none,val,0.7359550561797753,0.6986666666666667,0.7168262653898769,3000.0
neutral,none,val,0.6297818526715144,0.664,0.6464384228460166,3000.0
positive,none,val,0.8782201405152225,0.875,0.8766071130405744,3000.0
accuracy,none,val,0.7458888888888889,0.7458888888888889,0.7458888888888889,0.7458888888888889
macro avg,none,val,0.7479856831221707,0.7458888888888889,0.7466239337588227,9000.0
weighted avg,none,val,0.7479856831221707,0.7458888888888889,0.7466239337588226,9000.0
negative,none,test,0.7351510941299062,0.7055,0.7200204116346317,6000.0
neutral,none,test,0.6331398085673937,0.6725,0.652226622484442,6000.0
positive,none,test,0.8873743397512353,0.868,0.877580251074227,6000.0
accuracy,none,test,0.7486666666666667,0.7486666666666667,0.7486666666666667,0.7486666666666667
macro avg,none,test,0.7518884141495118,0.7486666666666667,0.7499424283977669,18000.0
weighted avg,none,test,0.7518884141495118,0.7486666666666667,0.749942428397767,18000.0
negative,class_weight,val,0.7359550561797753,0.6986666666666667,0.7168262653898769,3000.0
neutral,class_weight,val,0.6297818526715144,0.664,0.6464384228460166,3000.0
positive,class_weight,val,0.8782201405152225,0.875,0.8766071130405744,3000.0
accuracy,class_weight,val,0.7458888888888889,0.7458888888888889,0.7458888888888889,0.7458888888888889
macro avg,class_weight,val,0.7479856831221707,0.7458888888888889,0.7466239337588227,9000.0
weighted avg,class_weight,val,0.7479856831221707,0.7458888888888889,0.7466239337588226,9000.0
negative,class_weight,test,0.7351510941299062,0.7055,0.7200204116346317,6000.0
neutral,class_weight,test,0.6331398085673937,0.6725,0.652226622484442,6000.0
positive,class_weight,test,0.8873743397512353,0.868,0.877580251074227,6000.0
accuracy,class_weight,test,0.7486666666666667,0.7486666666666667,0.7486666666666667,0.7486666666666667
macro avg,class_weight,test,0.7518884141495118,0.7486666666666667,0.7499424283977669,18000.0
weighted avg,class_weight,test,0.7518884141495118,0.7486666666666667,0.749942428397767,18000.0
negative,oversampling,val,0.7319874695440306,0.701,0.7161586923207901,3000.0
neutral,oversampling,val,0.621910283796155,0.6793333333333333,0.6493547873187828,3000.0
positive,oversampling,val,0.8975438596491228,0.8526666666666667,0.8745299145299146,3000.0
accuracy,oversampling,val,0.7443333333333333,0.7443333333333333,0.7443333333333333,0.7443333333333333
macro avg,oversampling,val,0.7504805376631029,0.7443333333333332,0.7466811313898291,9000.0
weighted avg,oversampling,val,0.7504805376631027,0.7443333333333333,0.7466811313898292,9000.0
negative,oversampling,test,0.7349209108291326,0.7046666666666667,0.7194758784991067,6000.0
neutral,oversampling,test,0.6263301915475828,0.6866666666666666,0.6551121004929241,6000.0
positive,oversampling,test,0.9005115540659728,0.8508333333333333,0.8749678635701431,6000.0
accuracy,oversampling,test,0.7473888888888889,0.7473888888888889,0.7473888888888889,0.7473888888888889
macro avg,oversampling,test,0.7539208854808961,0.747388888888889,0.7498519475207246,18000.0
weighted avg,oversampling,test,0.7539208854808961,0.7473888888888889,0.7498519475207247,18000.0
