example_id,true_label,pred_label,confidence,lime_runs,mean_pairwise_top_feature_jaccard,mean_pairwise_spearman_weight_correlation,unique_features_across_runs
1,neutral,positive,0.9973018633913241,5,1.0,0.9200000000000002,4
2,neutral,positive,0.9972819681540451,5,1.0,,1
3,negative,positive,0.994441844490773,5,1.0,1.0,4
4,negative,positive,0.9898808123914405,5,0.7046620046620047,0.9212971823498138,14
5,neutral,negative,0.9936371588460756,5,1.0,0.9785714285714286,8
6,neutral,negative,0.9870052820334515,5,0.7144522144522145,0.8877644869750135,14
7,positive,neutral,0.9566740857456201,5,1.0,0.9399999999999998,5
8,positive,neutral,0.9438259582261815,5,1.0,1.0,4
9,negative,neutral,0.9561444033331965,5,0.6177156177156177,0.9072408293460924,14
10,negative,neutral,0.9510869177503797,5,1.0,1.0,3
11,positive,negative,0.9500581328695581,5,0.8727272727272728,0.9157575757575758,11
12,positive,negative,0.9427392475243749,5,0.8545454545454547,0.8745454545454546,12
